id,category,question_he,answer_he,source_urls,needs_secretary_review,secretary_tag,notes
mba_gt_001,admissions,איך נרשמים ללימודי MBA?,"נרשמים באופן מקוון דרך אתר האוניברסיטה העברית, כולל תשלום דמי רישום. לאחר הרישום ניתן לדון במועמדות לפי תנאי הקבלה של בית הספר.",https://bschool.huji.ac.il/mba/admittance; secretariat-provided,TRUE,,
mba_gt_002,admissions,עד מתי אפשר להירשם לשנת תשפ״ז?,"בדף תנאי הקבלה מופיע שמועד ההרשמה לשנת תשפ״ז הוא עד 16.08.2026. מאחר שמועד הרשמה הוא נתון שמתעדכן, מומלץ לאמת באתר לפני שליחת תשובה סופית.",https://bschool.huji.ac.il/mba/admittance,TRUE,,תאריך רגיש לעדכון.
mba_gt_003,admissions,האם חייבים GMAT כדי להתקבל?,"תנאי הקבלה כוללים ציון בחלק הכמותי של GMAT, אך יש מקרים שבהם ניתן להגיש בקשה לשקילת מועמדות ללא GMAT. הפטור אינו אוטומטי ותלוי בהחלטת ועדת הקבלה.",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_004,admissions,באילו מקרים אפשר לבקש מועמדות ללא GMAT?,"אפשר להגיש בקשה אם עומדים באחד התנאים המפורטים באתר, כגון תואר ראשון כמותי בציון מתאים, תואר שני כמותי, תלמידי מחקר, בעלי דוקטורט, בוגרי הכנה למוסמך או מנהלים בכירים לפי התנאים. ההחלטה הסופית היא של ועדת הקבלה.",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_005,admissions,"אם אני עומד בתנאי פטור מ-GMAT, האם אני פטור בוודאות?","לא. גם כאשר מתקיים תנאי שמאפשר להגיש בקשה, הפטור מ-GMAT ניתן לפי שיקול ועדת הקבלה ועל סמך מכלול נתוני המועמד או המועמדת.",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_006,admissions,איזה ציון GMAT כמותי נדרש?,"לפי האתר, נדרש צירוף של ציון תואר ראשון וציון כמותי ב-GMAT בסכום 130 ומעלה, ובכל מקרה ציון 40 ומעלה בחלק הכמותי, או לפי המדרג החדש 163 ומעלה. קיימת גם חלופה של ציון 48 כמותי, או 80 במדרג החדש, יחד עם אישור זכאות לתואר.",https://bschool.huji.ac.il/mba/admittance,TRUE,,מספרים דורשים תיקוף מזכירות.
mba_gt_007,admissions,האם צריך פטור מאנגלית?,"כן. תנאי הגשת המועמדות כוללים פטור מלימודי אנגלית, בנוסף לתואר ראשון ממוסד מוכר ולדרישות ה-GMAT או בקשת פטור ממנו.",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_008,admissions,עוד אין לי אישור זכאות לתואר ראשון. אפשר להתקבל על תנאי?,"לפי תנאי הקבלה, מתקבלים על תנאי צריכים להציג אישור זכאות לתואר הראשון עד חודש מיום פתיחת שנת הלימודים.",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_009,admissions,אפשר להתחיל MBA בסמסטר ב׳?,"לפי המענה התפעולי של המזכירות, אין הרשמה בסמסטר ב׳. לימודי MBA נמשכים ארבעה סמסטרים ומתחילים במסגרת שנת הלימודים.",secretariat-provided; https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_010,admissions,למי פונים על תנאי קבלה ולמי על תכנית הלימודים?,"בדף תנאי הקבלה מופיעה מאיה דגן-אשכנזי לפניות על תנאי קבלה, ובנפרד כתובת mbac@savion.huji.ac.il לפרטים על תכנית הלימודים. כדאי להפנות לפי נושא הפנייה.",https://bschool.huji.ac.il/mba/admittance,TRUE,,
