id,category,question_he,answer_he,answer_he_chatbot,source_urls,needs_secretary_review,secretary_tag,notes
mba_gt_001,admissions,איך נרשמים ללימודי MBA?,"תהליך הרישום לתוכנית מובנה ומתבצע כולו מקוון: (1) הגשת מועמדות מקוונת — מילוי טפסים דרך אתר האוניברסיטה העברית והפורטל המרכזי, כולל תשלום דמי רישום; (2) בחינת המועמדות — לאחר הרישום והעלאת כלל המסמכים, התיק מועבר לוועדת הקבלה המקצועית לבחינת עמידה בתנאי הסף האקדמיים.","שלום וברכה! אני שמח מאוד על התעניינותך בתוכנית ה-MBA של האוניברסיטה העברית. אנחנו כאן כדי ללוות אותך לאורך כל הדרך אל התואר השני שלך.

תהליך הרישום לתוכנית מובנה ומתבצע כולו באופן מקוון:

הגשת מועמדות מקוונת: הרישום מתחיל במילוי טפסים ישיר דרך אתר האינטרנט והפורטל המרכזי של האוניברסיטה העברית, כולל תשלום דמי רישום.

בחינת המועמדות: לאחר הרישום והעלאת כלל המסמכים, ניתן לדון במועמדות לפי תנאי הקבלה של בית הספר. התיק מועבר לוועדת הקבלה המקצועית שלנו לבחינת עמידה בתנאי הסף האקדמיים.

נשמח מאוד לראותך בין סטודנטי התוכנית ולילוות אותך לאורך הדרך לתואר המוסמך!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_002,admissions,עד מתי אפשר להירשם לשנת תשפ״ז?,"בדף תנאי הקבלה מופיע שמועד ההרשמה לשנת תשפ״ז הוא עד ה-16.08.2026. מאחר שמועד ההרשמה הוא נתון דינמי שמתעדכן מעת לעת בהתאם לתפוסה, מומלץ לא להמתין לרגע האחרון ולאמת באופן סופי באתר לפני הרשמה.","שלום רב. תכנון זמנים נכון הוא צעד מצוין להתחלת הדרך האקדמית שלך, ואני שמח שאת/ה מברר/ת זאת מראש.

לגבי מועדי הרישום לשנת הלימודים תשפ""ז:

מועד הסגירה הרשמי: בדף תנאי הקבלה מופיע שמועד ההרשמה לשנת תשפ״ז הוא עד ה-16.08.2026.

חשיבות הרישום המוקדם: מאחר שמועד ההרשמה הוא נתון דינמי שמתעדכן מעת לעת בהתאם לתפוסה, מומלץ לא להמתין לרגע האחרון.

המלצה שלי: מאחר שמדובר בנתון רגיש לעדכון, מומלץ לאמת באופן סופי באתר לפני שליחת תשובה והרשמה סופית.

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,תאריך רגיש לעדכון.
mba_gt_003,admissions,האם חייבים GMAT כדי להתקבל?,"תנאי הקבלה הבסיסיים כוללים הצגת ציון בחלק הכמותי של מבחן ה-GMAT. קיימים מקרים שבהם ניתן להגיש בקשה לשקילת מועמדות ללא GMAT, אך הפטור אינו אוטומטי ותלוי לחלוטין בהחלטת ועדת הקבלה.","שלום וברכה. שאלת ה-GMAT היא אחת השאלות החשובות והנפוצות ביותר, ואני כאן כדי לעשות לך סדר מלא בנושא.

הקו המנחה של בית הספר מורכב משני חלקים:

דרישת הסף הסטנדרטית: תנאי הקבלה הבסיסיים של בית הספר כוללים הצגת ציון בחלק הכמותי של מבחן ה-GMAT.

אפשרות לבקשת פטור: קיימים מקרים שבהם ניתן להגיש בקשה לשקילת מועמדות ללא GMAT.

החלטת הוועדה: חשוב לי להדגיש כי הפטור אינו אוטומטי ותלוי לחלוטין בהחלטת ועדת הקבלה.

אנו כאן כדי לסייע לך בכל שאלה ובדיקה של סיכויי הקבלה!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_004,admissions,באילו מקרים אפשר לבקש מועמדות ללא GMAT?,"ניתן להגיש בקשת פטור אם עומדים באחד מהתנאים המפורטים באתר: תואר ראשון כמותי בציון מתאים; תואר שני כמותי, תלמידי מחקר או בעלי דוקטורט; בוגרי תוכנית ההכנה למוסמך של בית הספר; מנהלים בכירים לפי התנאים המוגדרים. ההחלטה הסופית לגבי מתן הפטור היא של ועדת הקבלה.","שלום רב, שמח ששאלת! ועדת הקבלה הגדירה קריטריונים ברורים שבהם ניתן להגיש בקשה רשמית לפטור מהחלק הכמותי של הבחינה.

תוכל/י להגיש בקשת פטור אם הנך עומד/ת באחד מהתנאים הבאים המפורטים באתר:

תואר ראשון כמותי: תואר ראשון כמותי בציון מתאים.

תארים מתקדמים או מחקר: תואר שני כמותי, תלמידי מחקר או בעלי דוקטורט.

מכינות בית הספר: בוגרי תוכנית ההכנה למוסמך של בית הספר.

ניסיון ניהולי: מנהלים בכירים לפי התנאים המוגדרים.

הערה חשובה: בכל התרחישים הללו, ההחלטה הסופית לגבי מתן הפטור היא של ועדת הקבלה.

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_005,admissions,"אם אני עומד בתנאי פטור מ-GMAT, האם אני פטור בוודאות?","לא. גם כאשר מתקיים תנאי שמאפשר להגיש בקשה, אין מדובר בפטור אוטומטי. הפטור מ-GMAT ניתן אך ורק לפי שיקול ועדת הקבלה ועל סמך מכלול נתוני המועמד או המועמדת.","שלום וברכה. זוהי נקודה מנהלית קריטית וטוב מאוד שאת/ה מחדד/ת אותה מראש.

התשובה הרשמית היא לא, הפטור אינו מובטח בוודאות:

זכות הגשה בלבד: גם כאשר מתקיים תנאי שמאפשר להגיש בקשה, אין מדובר בפטור אוטומטי.

שיקול דעת הוועדה: הפטור מ-GMAT ניתן אך ורק לפי שיקול ועדת הקבלה.

מכלול נתוני המועמד: הוועדה מקבלת את החלטתה על סמך מכלול נתוני המועמד או המועמדת.

מומלץ להגיש את בקשת הפטור מוקדם ככל הניתן כדי לדעת בוודאות היכן הדברים עומדים!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_006,admissions,איזה ציון GMAT כמותי נדרש?,"במדרג ה-GMAT המסורתי: נדרש צירוף של ציון תואר ראשון וציון כמותי ב-GMAT בסכום 130 ומעלה, ובכל מקרה ציון 40 ומעלה בחלק הכמותי. במדרג החדש (GMAT Focus Edition): ציון הסף בחלק הכמותי עומד על 163 ומעלה. חלופת הצטיינות (קבלה ישירה): ציון 48 כמותי (או 80 במדרג החדש), יחד עם אישור זכאות לתואר.","שלום רב. כדי להתקבל על סמך בחינת ה-GMAT, בית הספר משתמש בנוסחת שילוב בין ממוצע התואר הראשון לציון הכמותי במבחן.

הדרישות הן:

במדרג ה-GMAT המסורתי: נדרש צירוף של ציון תואר ראשון וציון כמותי ב-GMAT בסכום 130 ומעלה, ובכל מקרה ציון 40 ומעלה בחלק הכמותי.

במדרג החדש (GMAT Focus Edition): ציון הסף הנדרש בחלק הכמותי עומד על 163 ומעלה.

חלופת הצטיינות (קבלה ישירה): קיימת חלופה של ציון 48 כמותי (או 80 במדרג החדש), יחד עם אישור זכאות לתואר.

אנו מאחלים לך הצלחה רבה בבחינה!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,מספרים דורשים תיקוף מזכירות.
mba_gt_007,admissions,האם צריך פטור מאנגלית?,"כן. פטור מלימודי אנגלית הוא אחד מתנאי הסף האוניברסיטאיים המחייבים להגשת מועמדות, בנוסף להצגת תואר ראשון ממוסד מוכר ולדרישות ה-GMAT (או בקשת פטור מאושרת ממנו).","שלום וברכה. כן, בהחלט. זהו אחד מתנאי הסף האוניברסיטאיים הקשיחים והמחייבים ביותר להגשת מועמדות.

הנה הדרישות המלאות בנושא:

חובת פטור מאנגלית: תנאי הגשת המועמדות לתוכנית ה-MBA כוללים פטור מלימודי אנגלית.

השלמת הדרישות: דרישה זו מתווספת כמובן להצגת תואר ראשון ממוסד מוכר ולדרישות ה-GMAT (או בקשת פטור מאושרת ממנו).

נשמח לעזור לך להשתלב בלימודים בצורה חלקה!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_008,admissions,עוד אין לי אישור זכאות לתואר ראשון. אפשר להתקבל על תנאי?,"לפי תנאי הקבלה, מועמדים שנמצאים בשלבי סיום תואר ראשון יכולים להתקבל במעמד של ""על תנאי"". סטודנטים המתקבלים על תנאי צריכים להציג את אישור הזכאות הרשמי והסופי לתואר הראשון עד חודש מיום פתיחת שנת הלימודים.","שלום רב. ראשית, ברכות על ההגעה לישורת האחרונה של התואר הראשון שלך!

לגבי שאלתך על קבלה מותנית:

קבלה על תנאי: לפי תנאי הקבלה, מועמדים שנמצאים בשלבי סיום תואר ראשון יכולים להתקבל במעמד של ""על תנאי"".

לוח זמנים להצגת האישור: סטודנטים המתקבלים על תנאי צריכים להציג את אישור הזכאות הרשמי והסופי לתואר הראשון עד חודש מיום פתיחת שנת הלימודים.

מומלץ לפעול מול המוסד הקודם מוקדם ככל הניתן כדי להמציא את האישור בזמן!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_009,admissions,אפשר להתחיל MBA בסמסטר ב׳?,"לפי המענה התפעולי של המזכירות, אין הרשמה בסמסטר ב׳. לימודי ה-MBA נמשכים ארבעה סמסטרים (שנתיים) ומתחילים אך ורק במסגרת שנת הלימודים בסמסטר א'.","שלום וברכה. אני מבין לחלוטין את הרצון להשתלב בלימודים בהקדם, אך מבנה התוכנית מתוכנן בצורה שנתית מובנית.

הנה ההנחיות בנושא:

אין הרשמה בסמסטר ב': לפי המענה התפעולי של המזכירות, אין הרשמה בסמסטר ב׳.

משך ומבנה התוכנית: לימודי ה-MBA נמשכים ארבעה סמסטרים (שנתיים) ומתחילים אך ורק במסגרת שנת הלימודים בסמסטר א'.

נשמח לראותך פותח/ת איתנו את שנת הלימודים הבאה!

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
mba_gt_010,admissions,למי פונים על תנאי קבלה ולמי על תכנית הלימודים?,פניות בנושאי תנאי קבלה: בדף תנאי הקבלה מופיעה מאיה דגן-אשכנזי. פניות בנושאי תוכנית הלימודים: mbac@savion.huji.ac.il. מומלץ להפנות את הפנייה לפי נושאה המדויק כדי לקבל מענה מהיר.,"שלום רב. כדי להבטיח שהפנייה שלך תטופל במהירות ועל ידי הגורם המקצועי הנכון, ישנה חלוקה ברורה של תחומי האחריות:

פניות בנושאי תנאי קבלה: בדף תנאי הקבלה מופיעה מאיה דגן-אשכנזי לפניות על תנאי קבלה.

פניות בנושאי תוכנית הלימודים: בנפרד, קיימת כתובת המייל mbac@savion.huji.ac.il לבירורים על תכנית הלימודים.

המלצה שלי: כדאי להפנות את שאלתך לפי נושא הפנייה המדויק על מנת לקבל את המענה המהיר ביותר.

קישור רשמי למקור: https://bschool.huji.ac.il/mba/admittance",https://bschool.huji.ac.il/mba/admittance,TRUE,,
