sample_id,chunk_ids,match_score,matched_preview,needs_review
mba_gt_001,baseline_215;baseline_23;baseline_19,8,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_002,baseline_213;baseline_28;baseline_215,4,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_003,baseline_214;baseline_44;baseline_31,13,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_004,baseline_44;baseline_214;baseline_14,18,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_005,baseline_214;baseline_44;baseline_30,10,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_006,baseline_214;baseline_213;baseline_44,15,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_007,baseline_43;baseline_62;baseline_44,6,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_008,baseline_43;baseline_44;baseline_35,17,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_009,baseline_6;baseline_5;baseline_10,5,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_010,baseline_215;baseline_19;baseline_44,6,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_011,baseline_7;baseline_13;baseline_60,6,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_012,baseline_25;baseline_7;baseline_13,13,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_013,baseline_42;baseline_39;baseline_176,11,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_014,baseline_9;baseline_278;baseline_269,25,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_015,baseline_8;baseline_27;baseline_9,5,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_016,baseline_9;baseline_28;baseline_46,9,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
