sample_id,chunk_ids,match_score,matched_preview,needs_review
mba_gt_001,per_group_0;per_group_2;per_group_4,16,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_002,per_group_0;per_group_4;per_group_5,13,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_003,per_group_0;per_group_2;per_group_4,17,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_004,per_group_0;per_group_2;per_group_4,27,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_005,per_group_0;per_group_2;per_group_1,12,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_006,per_group_2;per_group_0;per_group_4,16,-Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תואר ראשון,TRUE
mba_gt_007,per_group_0;per_group_2;per_group_1,11,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_008,per_group_0;per_group_4;per_group_2,21,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_009,per_group_0;per_group_5;per_group_2,10,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_010,per_group_0;per_group_5;per_group_2,10,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_011,per_group_0;per_group_3;per_group_5,12,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_012,per_group_0;per_group_29;per_group_5,22,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_013,per_group_0;per_group_4;per_group_2,19,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_014,per_group_0;per_group_1;per_group_8,28,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_015,per_group_0;per_group_4;per_group_5,14,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_016,per_group_0;per_group_4;per_group_1,12,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_017,per_group_0;per_group_19;per_group_27,11,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_018,per_group_0;per_group_2;per_group_5,13,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_019,per_group_0;per_group_9;per_group_10,11,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_020,per_group_0;per_group_4;per_group_8,17,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_021,per_group_0;per_group_21;per_group_7,18,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_022,per_group_0;per_group_2;per_group_3,21,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_023,per_group_0;per_group_15;per_group_7,14,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_024,per_group_0;per_group_4;per_group_16,15,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_025,per_group_0;per_group_18;per_group_17,14,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_026,per_group_0;per_group_19;per_group_23,17,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_027,per_group_0;per_group_3;per_group_25,12,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
mba_gt_028,per_group_0;per_group_27;per_group_3,14,1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לימודיהם בשנת הלימודים,TRUE
