sample_id,chunk_ids,match_score,matched_preview,needs_review
mba_gt_001,breadcrumb_215;breadcrumb_23;breadcrumb_19,8,[קבלה] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תוא,TRUE
mba_gt_002,breadcrumb_235;breadcrumb_213;breadcrumb_28,5,[מסלול מואץ] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/,TRUE
mba_gt_003,breadcrumb_214;breadcrumb_44;breadcrumb_213,13,[קבלה] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תוא,TRUE
mba_gt_004,breadcrumb_44;breadcrumb_214;breadcrumb_45,18,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_005,breadcrumb_214;breadcrumb_44;breadcrumb_30,10,[קבלה] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תוא,TRUE
mba_gt_006,breadcrumb_214;breadcrumb_213;breadcrumb_44,15,[קבלה] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תוא,TRUE
mba_gt_007,breadcrumb_62;breadcrumb_44;breadcrumb_63,4,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_008,breadcrumb_43;breadcrumb_44;breadcrumb_35,17,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_009,breadcrumb_6;breadcrumb_10;breadcrumb_5,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_010,breadcrumb_215;breadcrumb_19;breadcrumb_44,6,[קבלה] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות תוא,TRUE
mba_gt_011,breadcrumb_7;breadcrumb_13;breadcrumb_60,6,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_012,breadcrumb_13;breadcrumb_26;breadcrumb_14,12,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_013,breadcrumb_176;breadcrumb_183;breadcrumb_146,5,[פטורים] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות ת,TRUE
mba_gt_014,breadcrumb_9;breadcrumb_86;breadcrumb_54,25,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_015,breadcrumb_8;breadcrumb_27;breadcrumb_242,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_016,breadcrumb_9;breadcrumb_28;breadcrumb_46,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_017,breadcrumb_10;breadcrumb_26;breadcrumb_525,10,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_018,breadcrumb_5;breadcrumb_59;breadcrumb_19,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_019,breadcrumb_7;breadcrumb_61;breadcrumb_526,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_020,breadcrumb_269;breadcrumb_26;breadcrumb_13,8,"[מנהל עסקים, מחקרי] שנה 1 - חובה הערה: קורסי חובה כלליים (חובה במסגרת לימודי MBA) - ציון עובר בקורסים אלו 60. בעבור פטור",TRUE
mba_gt_021,breadcrumb_12;breadcrumb_13;breadcrumb_26,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_022,breadcrumb_15;breadcrumb_58;breadcrumb_60,13,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_023,breadcrumb_354;breadcrumb_350;breadcrumb_347,9,"[התמחות במימון ובנקאות - ראשית] שנה 1 - חובה (סה""כ 6 נ""ז) הערה: . בהתמחות ראשית במימון יש ללמוד 24 נ""ז מתוך קורסי ההתמחו",TRUE
mba_gt_024,breadcrumb_56;breadcrumb_370;breadcrumb_360,11,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_025,breadcrumb_390;breadcrumb_389;breadcrumb_391,8,"[התמחות בשיווק - ראשית] שנה 1 - חובה (סה""כ 9 נ""ז) הערה: שנה א- להלן קורסי חובה לשנת הלימודים הראשונה בלימודי ההתמחות. בה",TRUE
mba_gt_026,breadcrumb_48;breadcrumb_415;breadcrumb_464,13,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_027,breadcrumb_502;breadcrumb_487;breadcrumb_488,7,"[התמחות באסטרטגיה ויזמות - ראשית] שנה 1 - חובת בחירה סמינרים (סה""כ 2 נ""ז) הערה: בהתמחות ראשית באסטרטגיה, יש לבחור סמינר ",TRUE
mba_gt_028,breadcrumb_519;breadcrumb_527;breadcrumb_528,9,"[התמחות בחקר ביצועים - ראשית] שנה 1 - חובה (סה""כ 9 נ""ז) הערה: שנה א - בהתמחות ראשית בחקר ביצועים וניהול התפעול יש ללמוד ",TRUE
mba_gt_029,breadcrumb_417;breadcrumb_421;breadcrumb_426,7,"[התמחות במדע המידע בניהול - ראשית] שנה 1 - חובת בחירה סמינרים (סה""כ 1 נ""ז) הערה: שנה ב- לסמינר 55913 , יש ללמוד גם את קו",TRUE
mba_gt_030,breadcrumb_53;breadcrumb_437;breadcrumb_429,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_031,breadcrumb_54;breadcrumb_556;breadcrumb_541,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_032,breadcrumb_457;breadcrumb_453;breadcrumb_458,6,"[התמחות בפינטק - ראשית] שנה 1 - בחירה הערה: . בהתמחות ראשית יש ללמוד לפחות 24 נ""ז מקורסי ההתמחות. להלן קורסי בחירה של הה",TRUE
mba_gt_033,breadcrumb_12;breadcrumb_11;breadcrumb_335,8,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_034,breadcrumb_380;breadcrumb_383;breadcrumb_395,3,"[התמחות בשיווק - משנית] שנה 1 - בחירה הערה: שנים או או ב - קורסי בחירה של ההתמחות בשיווק, להשלמת 18 נ""ז של התמחות משנה. ",TRUE
mba_gt_035,breadcrumb_415;breadcrumb_406;breadcrumb_416,8,"[התמחות בהתנהגות ארגונית ומנהל משאבי אנוש - משנית] שנה 1 - חובה (סה""כ 6 נ""ז) הערה: בהתמחות ראשית יש ללמוד לפחות 24 נ""ז מ",TRUE
mba_gt_036,breadcrumb_480;breadcrumb_486;breadcrumb_477,3,"[התמחות באסטרטגיה ויזמות - משנית] שנה 1 - חובת בחירה (סה""כ 9 נ""ז) הערה: שנה א- בהתמחות משנית באסטרטגיה יש ללמוד 18 נ""ז. ",TRUE
mba_gt_037,breadcrumb_508;breadcrumb_512;breadcrumb_513,5,"[התמחות בחקר ביצועים - משנית] שנה 1 - חובה (סה""כ 9 נ""ז) הערה: שנה א- בהתמחות משנית בחקר ביצועים וניהול התפעול יש ללמוד ל",TRUE
mba_gt_038,breadcrumb_317;breadcrumb_316;breadcrumb_319,3,"[התמחות במדע המידע בניהול - משנית] שנה 1 - חובה (סה""כ 9 נ""ז) הערה: שנה א - בהתמחות משנית במדע המידע בניהול יש ללמוד 18 נ",TRUE
mba_gt_039,breadcrumb_11;breadcrumb_53;breadcrumb_440,9,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_040,breadcrumb_438;breadcrumb_440;breadcrumb_439,5,"[התמחות באנליטיקה של נתוני עתק - ראשית] שנה 1 - חובה (סה""כ 12 נ""ז) הערה: שנה א - התמחות באנליטיקה של נתוני עתק. התמחות ר",TRUE
mba_gt_041,breadcrumb_217;breadcrumb_429;breadcrumb_317,4,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
mba_gt_042,breadcrumb_11;breadcrumb_547;breadcrumb_544,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_043,breadcrumb_12;breadcrumb_11;breadcrumb_457,5,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_044,breadcrumb_224;breadcrumb_12;breadcrumb_56,7,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
mba_gt_045,breadcrumb_218;breadcrumb_222;breadcrumb_217,6,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
mba_gt_046,breadcrumb_228;breadcrumb_227;breadcrumb_390,10,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
mba_gt_047,breadcrumb_225;breadcrumb_226;breadcrumb_454,8,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
mba_gt_048,breadcrumb_219;breadcrumb_223;breadcrumb_484,9,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
mba_gt_049,breadcrumb_48;breadcrumb_221;breadcrumb_466,10,[תקנון אקדמי (PDF)] 1 תקנון לימודים לתואר מוסמך במנהל עסקים – MBA המסמך שלהלן מיועד לסטודנטים ולסטודנטיות המתחילים את לי,TRUE
mba_gt_050,breadcrumb_226;breadcrumb_338;breadcrumb_333,8,[התמחויות] -Place the sidebar in two different places due to the page tpl logic. sidebar first region beg - מתעניינים/ות,TRUE
