sample_id,chunk_ids,match_score,matched_preview,needs_review
mba_gt_001,parent_child_856;parent_child_850;parent_child_956,8,"לימודי הMBA בשנתיים, נדרשים להשלים קורסים אלו במסגרת חיצונית או דרך קורסי הקיץ של ביה""ס. קורסים אלו כרוכים בתשלום נוסף. ",TRUE
mba_gt_002,parent_child_856;parent_child_110;parent_child_145,4,"לימודי הMBA בשנתיים, נדרשים להשלים קורסים אלו במסגרת חיצונית או דרך קורסי הקיץ של ביה""ס. קורסים אלו כרוכים בתשלום נוסף. ",TRUE
mba_gt_003,parent_child_852;parent_child_176;parent_child_850,11,"ציון 40 ומעלה בחלק הכמותי) , או 163 ומעלה, לפי המדרג החדש. או – ציון 48 (או 80 לפי המדרג החדש) בחלק הכמותי של מבחן ה GMA",TRUE
mba_gt_004,parent_child_177;parent_child_176;parent_child_854,9,"מטיקה, מדעי המחשב, הנדסה, כלכלה, חשבונאות ו/או סטטיסטיקה, בציון 85 ומעלה.  תואר בוגר עם רקע כמותי, בציון 90 ומעלה.  תו",TRUE
mba_gt_005,parent_child_854;parent_child_852;parent_child_176,6,"טי. - מנהליים בכירים, בעלי ציון 80 ומעלה בלימודי התואר הראשון פטור ממבחן ה GMAT הינו על פי שיקול ועדת הקבלה של ביה""ס על ",TRUE
mba_gt_006,parent_child_852;parent_child_851;parent_child_176,11,"ציון 40 ומעלה בחלק הכמותי) , או 163 ומעלה, לפי המדרג החדש. או – ציון 48 (או 80 לפי המדרג החדש) בחלק הכמותי של מבחן ה GMA",TRUE
mba_gt_007,parent_child_178;parent_child_176;parent_child_854,3,"רלוונטי. הבקשות לפטור תבדקנה ע""י ועדת הקבלה של בית הספר. כדי לבדוק מאילו קורסי תשתית וחובה כלליים תהיו פטורים במסגרת לימ",TRUE
mba_gt_008,parent_child_174;parent_child_175;parent_child_850,13,"טה. כדי להתקבל לתואר מוסמך במנהל עסקים, עליכם לעמוד בתנאים הבאים: 1) זכאות לתואר בוגר ממוסד אקדמי מוכר. מי שנמצאים בסיום",TRUE
mba_gt_009,parent_child_22;parent_child_23;parent_child_40,5,"ת וארגוניות באופן אפקטיבי. בנוסף, התואר מאפשר להרחיב את הידע ולהתמקצע באחד או בשניים מתחומי הליבה (התמחויות) במנהל עסקים",TRUE
mba_gt_010,parent_child_77;parent_child_93;parent_child_141,5,מוד במסגרתו לפחות קורס אחד (כלומר להירשם לקורס ולקבל בו ציון).  התוכנית מאפשרת לסיים את תואר המוסמך בשנה אחת נוספת לאחר,TRUE
mba_gt_011,parent_child_28;parent_child_243;parent_child_55,3,"ימודים בתואר השני מותאמת לסטודנטים העובדים במקביל לתואר, ולכן הלימודים מתקיימים בשעות אחר הצהריים והערב (החל מהשעה 15:30",TRUE
mba_gt_012,parent_child_41;parent_child_30;parent_child_49,11,"תשתית במתמטיקה ובסטטיסטיקה במסגרת קורסי הקיץ המרוכזים. לימודי התמחות לימודי ההתמחות כוללים קורסי חובה של ההתמחות, קורסי ",TRUE
mba_gt_013,parent_child_32;parent_child_166;parent_child_167,12,"ללמוד את הקורסים בקיץ, באופן מרוכז, לפני פתיחת שנת הלימודים. לחלופין, ניתן ללמוד אותם בסמסטר א' (כל קורס במהלך הסמסטר נל",TRUE
mba_gt_014,parent_child_36;parent_child_37;parent_child_250,16,"כלליים״ להשלמת מכסת ה-48 נ""ז לתואר, או ללמוד קורס/ים נוסף/ים מתוך ההתמחות הנלמדת. ציון עובר בכל אחד מהקורסים הללו הוא 60",TRUE
mba_gt_015,parent_child_36;parent_child_250;parent_child_915,4,"כלליים״ להשלמת מכסת ה-48 נ""ז לתואר, או ללמוד קורס/ים נוסף/ים מתוך ההתמחות הנלמדת. ציון עובר בכל אחד מהקורסים הללו הוא 60",TRUE
mba_gt_016,parent_child_37;parent_child_38;parent_child_184,7,וא למימון 55904 6 6. נתונים וטכנולוגיה בעסקים – MBA 558891 7. ניהול השיווק 55905 8. מודלים כמותיים בניהול 55815 לשלושת ה,TRUE
mba_gt_017,parent_child_41;parent_child_197;parent_child_105,10,"תשתית במתמטיקה ובסטטיסטיקה במסגרת קורסי הקיץ המרוכזים. לימודי התמחות לימודי ההתמחות כוללים קורסי חובה של ההתמחות, קורסי ",TRUE
mba_gt_018,parent_child_22;parent_child_23;parent_child_40,7,"ת וארגוניות באופן אפקטיבי. בנוסף, התואר מאפשר להרחיב את הידע ולהתמקצע באחד או בשניים מתחומי הליבה (התמחויות) במנהל עסקים",TRUE
mba_gt_019,parent_child_28;parent_child_1074,9,"ימודים בתואר השני מותאמת לסטודנטים העובדים במקביל לתואר, ולכן הלימודים מתקיימים בשעות אחר הצהריים והערב (החל מהשעה 15:30",TRUE
mba_gt_020,parent_child_105;parent_child_104;parent_child_153,7,"ם לומדים. סטודנטים שפטורים מ-5 קורסי חובה כלליים לפחות (כלומר 15 נ""ז מקורסי החובה הכלליים), נדרשים לבחור בין שתי חלופות:",TRUE
mba_gt_021,parent_child_48;parent_child_44;parent_child_52,8,"ת"". 9. פינטק – ניתן ללמוד רק כהתמחות ראשית. 10. שיווק – ניתן ללמוד כהתמחות ראשית או משנית. שימו לב:  לא ניתן ללמוד שתי ",TRUE
mba_gt_022,parent_child_60;parent_child_240;parent_child_61,9,"להגיש בקשה לעבור למסלול המחקרי בסוף שנה א', או בסמוך אליה, אם עומדים בתנאים הבאים: 1) סיום שנה א' בלימודי המוסמך בממוצע ",TRUE
mba_gt_023,parent_child_205;parent_child_1238;parent_child_1225,7,"קורסי בחירה מתוך ההתמחות. מימון ובנקאות ניתן ללמוד כראשית או משנית. לא ניתן לשלב עם ההתמחות ""ניהול פיננסי לחשבונאים"". אם",TRUE
mba_gt_024,parent_child_205;parent_child_218;parent_child_224,8,"קורסי בחירה מתוך ההתמחות. מימון ובנקאות ניתן ללמוד כראשית או משנית. לא ניתן לשלב עם ההתמחות ""ניהול פיננסי לחשבונאים"". אם",TRUE
mba_gt_025,parent_child_1394;parent_child_1397;parent_child_1401,8,"שנה 1 - חובה (סה""כ 9 נ""ז) הערה: שנה א- להלן קורסי חובה לשנת הלימודים הראשונה בלימודי ההתמחות. בהתמחות ראשית בשיווק יש לל",TRUE
